[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
276:(10/03),0.00,0.00,0.00,0.00,0.00,0.03,0.17,0.26,0.35,0.48,0.40,0.49,0.45,0.36,0.27,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.5
277:(10/04),0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.31,0.32,0.31,0.32,0.47,0.47,0.39,0.25,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2
278:(10/05),0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.26,0.34,0.23,0.17,0.23,0.29,0.24,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.1
279:(10/06),0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.20,0.27,0.38,0.42,0.55,0.44,0.42,0.28,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2
280:(10/07),0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.27,0.36,0.43,0.39,0.22,0.09,0.09,0.08,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.1
281:(10/08),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.07,0.09,0.11,0.09,0.07,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.7
282:(10/09),0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.20,0.34,0.50,0.49,0.42,0.37,0.39,0.28,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
283:(10/10),0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.23,0.29,0.49,0.35,0.37,0.38,0.32,0.28,0.12,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.0
284:(10/11),0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.07,0.14,0.26,0.55,0.55,0.46,0.29,0.15,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.7
285:(10/12),0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.11,0.18,0.34,0.43,0.39,0.24,0.12,0.09,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0
