[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
012:(01/12),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.14,0.16,0.21,0.28,0.30,0.30,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.7
013:(01/13),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.43,1.02,1.50,1.78,1.82,1.62,1.24,0.50,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0
014:(01/14),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.52,1.18,1.65,1.92,1.99,1.82,1.42,0.83,0.21,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.6
015:(01/15),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.30,0.98,1.41,1.69,1.78,1.68,1.41,0.83,0.26,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.4
016:(01/16),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.48,1.06,1.50,1.75,1.80,1.64,1.29,0.74,0.25,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.6
017:(01/17),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.48,0.99,1.39,1.60,1.68,0.80,0.22,0.10,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.5
018:(01/18),0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.57,1.13,1.34,1.82,1.95,1.68,1.42,1.03,0.42,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.5
019:(01/19),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.53,1.11,1.57,1.85,1.92,1.82,1.47,0.90,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.6
020:(01/20),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.50,1.04,1.52,1.79,1.83,1.69,1.35,0.84,0.28,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.9
021:(01/21),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.31,0.37,0.37,0.27,0.17,0.11,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.9
022:(01/22),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.43,0.51,0.52,0.49,0.54,0.54,0.33,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
023:(01/23),0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.60,1.23,1.75,2.05,2.13,2.00,1.66,1.14,0.50,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.2
024:(01/24),0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.52,1.03,1.49,1.68,1.18,0.91,0.89,0.75,0.24,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.8
025:(01/25),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.15,0.74,1.58,1.77,1.77,1.55,1.19,0.83,0.34,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0
026:(01/26),0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.58,1.20,1.69,1.98,2.08,1.97,1.63,1.10,0.46,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.8
027:(01/27),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.64,1.25,1.73,1.34,1.45,1.44,1.65,0.81,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.7
028:(01/28),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.62,1.25,1.77,2.04,2.12,2.02,1.69,1.18,0.52,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.4
029:(01/29),0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.62,1.24,1.66,1.91,2.03,1.87,1.40,0.83,0.35,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.1
030:(01/30),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.64,1.27,1.79,2.10,2.16,1.90,1.33,0.70,0.30,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.4
031:(01/31),0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.62,1.22,1.68,2.00,2.11,2.00,1.65,1.07,0.40,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.9
032:(02/01),0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.58,1.14,1.54,1.72,1.67,1.44,1.16,0.77,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.4
033:(02/02),0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.53,1.22,1.78,2.08,2.16,1.95,1.26,0.66,0.29,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.1
034:(02/03),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.72,1.36,1.83,2.15,2.26,1.90,1.37,1.16,0.49,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.4
035:(02/04),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.44,1.17,1.59,1.74,1.85,1.57,0.85,0.57,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0
036:(02/05),0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.69,1.33,1.84,2.15,2.25,2.14,1.81,1.29,0.63,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.4
037:(02/06),0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.35,1.04,1.39,1.79,2.03,1.88,1.55,1.07,0.51,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.8
038:(02/07),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.36,0.55,1.49,1.54,1.91,1.89,1.58,0.69,0.19,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.3
039:(02/08),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.51,1.06,1.50,1.24,1.63,1.79,1.58,1.27,0.66,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.4
040:(02/09),0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.76,1.37,1.80,2.02,2.03,1.84,1.51,0.99,0.32,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.9
041:(02/10),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.18,0.24,0.37,0.58,0.71,0.63,0.31,0.14,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
042:(02/11),0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.72,1.34,1.81,2.07,2.15,2.06,1.12,0.40,0.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.1
043:(02/12),0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.72,1.35,1.73,1.97,2.02,1.90,1.55,0.88,0.18,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.5
044:(02/13),0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.83,1.47,1.99,2.31,2.32,1.97,1.52,1.07,0.45,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.2
045:(02/14),0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.68,1.31,1.76,1.91,1.95,1.88,1.55,1.04,0.39,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.7
046:(02/15),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.16,0.24,0.35,0.32,0.24,0.23,0.16,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.9
047:(02/16),0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.65,0.67,0.80,0.99,1.18,1.65,1.16,0.94,0.68,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.0
048:(02/17),0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.75,1.62,2.15,2.46,2.56,2.44,2.10,1.57,0.82,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.8
049:(02/18),0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.64,1.31,1.66,1.54,1.72,1.45,0.75,0.42,0.21,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0
050:(02/19),0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.35,1.31,1.91,1.67,1.31,1.99,1.01,0.52,0.66,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.0
051:(02/20),0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.73,1.43,1.63,1.61,0.98,1.56,1.69,1.30,0.50,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.7
052:(02/21),0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.86,1.55,2.12,2.41,2.50,2.28,1.90,1.27,0.74,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.0
053:(02/22),0.00,0.00,0.00,0.00,0.00,0.00,0.32,1.07,1.66,2.07,2.35,2.45,2.14,1.91,1.44,0.78,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.4
054:(02/23),0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.88,1.62,2.14,2.48,2.60,2.48,1.52,0.77,0.79,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.6
055:(02/24),0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.98,1.60,2.08,2.34,2.40,2.27,1.70,0.52,0.33,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.6
056:(02/25),0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.03,1.66,2.15,2.45,2.53,2.31,2.01,1.58,0.88,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.1
057:(02/26),0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.05,1.66,2.08,2.26,2.29,2.14,1.69,1.13,0.60,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.4
058:(02/27),0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.89,1.45,1.61,1.55,1.91,1.88,1.62,1.12,0.60,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.0
059:(02/28),0.00,0.00,0.00,0.00,0.00,0.01,0.20,0.68,1.38,1.48,1.34,0.70,1.60,0.51,0.21,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.3
060:(03/01),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.13,0.19,0.44,1.46,1.76,1.41,0.62,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.3
061:(03/02),0.00,0.00,0.00,0.00,0.00,0.01,0.24,0.93,1.78,2.30,2.63,2.65,1.94,1.80,1.06,0.45,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.9
062:(03/03),0.00,0.00,0.00,0.00,0.00,0.02,0.43,1.25,1.93,2.45,2.74,2.81,2.68,2.29,1.69,0.97,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.5
063:(03/04),0.00,0.00,0.00,0.00,0.00,0.01,0.40,1.14,1.74,2.20,2.54,2.65,2.54,2.21,1.43,0.42,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.4
064:(03/05),0.00,0.00,0.00,0.00,0.00,0.02,0.46,1.32,1.98,2.50,2.80,2.88,2.69,2.32,1.81,1.07,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.2
065:(03/06),0.00,0.00,0.00,0.00,0.00,0.02,0.44,1.23,1.85,2.36,2.69,2.63,2.36,1.92,1.39,0.82,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.0
