[ß],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
114:(04/24),0.0,0.0,0.0,0.0,0.0,-97.4,-88.8,-79.3,-67.4,-50.4,-23.5,12.8,43.4,62.9,76.0,86.0,94.8,103.3,0.0,0.0,0.0,0.0,0.0,0.0
115:(04/25),0.0,0.0,0.0,0.0,0.0,-97.7,-89.1,-79.6,-67.8,-50.7,-23.6,13.0,43.8,63.4,76.4,86.4,95.1,103.6,0.0,0.0,0.0,0.0,0.0,0.0
116:(04/26),0.0,0.0,0.0,0.0,-106.4,-97.9,-89.4,-79.9,-68.1,-51.1,-23.8,13.3,44.3,63.8,76.8,86.7,95.4,103.9,0.0,0.0,0.0,0.0,0.0,0.0
117:(04/27),0.0,0.0,0.0,0.0,-106.7,-98.2,-89.6,-80.2,-68.4,-51.4,-24.0,13.6,44.7,64.2,77.1,87.0,95.7,104.1,0.0,0.0,0.0,0.0,0.0,0.0
118:(04/28),0.0,0.0,0.0,0.0,-106.9,-98.4,-89.9,-80.5,-68.8,-51.7,-24.1,13.8,45.2,64.6,77.5,87.4,96.0,104.4,0.0,0.0,0.0,0.0,0.0,0.0
119:(04/29),0.0,0.0,0.0,0.0,-107.1,-98.6,-90.2,-80.8,-69.1,-52.1,-24.3,14.1,45.7,65.1,77.9,87.7,96.3,104.7,0.0,0.0,0.0,0.0,0.0,0.0
120:(04/30),0.0,0.0,0.0,0.0,-107.3,-98.9,-90.4,-81.1,-69.5,-52.5,-24.5,14.4,46.1,65.5,78.2,88.0,96.6,105.0,0.0,0.0,0.0,0.0,0.0,0.0
121:(05/01),0.0,0.0,0.0,0.0,-107.6,-99.1,-90.7,-81.4,-69.8,-52.8,-24.7,14.6,46.6,65.9,78.6,88.3,96.9,105.2,0.0,0.0,0.0,0.0,0.0,0.0
122:(05/02),0.0,0.0,0.0,0.0,-107.8,-99.4,-91.0,-81.7,-70.1,-53.2,-24.9,14.9,47.0,66.3,78.9,88.6,97.2,105.5,0.0,0.0,0.0,0.0,0.0,0.0
123:(05/03),0.0,0.0,0.0,0.0,-108.0,-99.6,-91.2,-82.0,-70.5,-53.5,-25.2,15.1,47.5,66.7,79.3,88.9,97.4,105.8,0.0,0.0,0.0,0.0,0.0,0.0
124:(05/04),0.0,0.0,0.0,0.0,-108.2,-99.9,-91.5,-82.3,-70.8,-53.9,-25.4,15.4,47.9,67.1,79.6,89.2,97.7,106.0,0.0,0.0,0.0,0.0,0.0,0.0
125:(05/05),0.0,0.0,0.0,0.0,-108.5,-100.1,-91.8,-82.6,-71.1,-54.3,-25.6,15.6,48.4,67.5,80.0,89.5,98.0,106.3,0.0,0.0,0.0,0.0,0.0,0.0
