[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
034:(02/03),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.25,0.32,0.32,0.31,0.55,0.63,0.33,0.24,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
035:(02/04),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.29,0.43,0.56,0.74,0.75,0.80,0.66,0.45,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.9
036:(02/05),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.24,0.31,0.34,0.36,0.36,0.32,0.29,0.25,0.19,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
037:(02/06),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.27,0.52,0.71,0.73,0.62,0.62,0.56,0.43,0.26,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.8
038:(02/07),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.28,0.46,0.67,0.87,0.75,0.63,0.54,0.50,0.17,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.0
039:(02/08),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.32,0.53,0.68,0.88,0.91,0.73,0.56,0.31,0.20,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.2
040:(02/09),0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.24,0.33,0.45,0.58,0.68,0.71,0.63,0.50,0.25,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.5
041:(02/10),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.17,0.23,0.36,0.54,0.65,0.58,0.29,0.14,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.1
042:(02/11),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.28,0.39,0.48,0.56,0.60,0.53,0.75,0.36,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2
043:(02/12),0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.29,0.39,0.58,0.69,0.74,0.72,0.64,0.55,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.9
044:(02/13),0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.24,0.30,0.33,0.34,0.45,0.67,0.68,0.51,0.30,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.0
045:(02/14),0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.33,0.46,0.58,0.77,0.83,0.76,0.67,0.54,0.29,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.4
